"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=%20Anura"
"Access Time","Fri 2017-02-03 06:26:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Anura"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0678"
"Records Found","1413"
"Records Returned","1413"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"290140","occ","","","20361","Pseudacris triseriata","species","110938","","Pseudacris triseriata","species","110937","Middle Pleistocene","","0.781","0.126","2939"
"290141","occ","","","20361","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290142","occ","","","20361","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290143","occ","","","20361","Rana catesbeiana","species","110841","","Rana catesbeiana","species","110841","Middle Pleistocene","","0.781","0.126","2939"
"290144","occ","","","20361","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290145","occ","","","20361","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290146","occ","","","20361","Bufo woodhousei","species","110871","","Bufo woodhousei","species","110871","Middle Pleistocene","","0.781","0.126","2939"
"290153","occ","","","20369","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290154","occ","","","20369","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290155","occ","","","20369","Rana catesbeiana","species","110841","","Rana catesbeiana","species","110841","Middle Pleistocene","","0.781","0.126","2939"
"290156","occ","","","20369","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290157","occ","","","20369","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290158","occ","","","20369","Bufo woodhousei","species","110871","","Bufo woodhousei","species","110871","Middle Pleistocene","","0.781","0.126","2939"
"290321","occ","","","27666","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290324","occ","","","27667","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290325","occ","","","27667","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290336","occ","","","27677","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290340","occ","","","27680","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290347","occ","","","27684","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
