"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"279819","occ","27730","","26723","Micrurus aff. gallicus","species","250519","","Micrurus gallicus","species","250519","Orleanian","Middle Miocene","20","11.608","7375"
"279820","occ","","","26723","Naja cf. romani","species","64932","","Naja romani","species","64932","Orleanian","Middle Miocene","20","11.608","7375"
"279821","occ","","","26723","Naja informal sp. 1","species","38154","species not entered","Naja","genus","38154","Orleanian","Middle Miocene","20","11.608","7375"
"279822","occ","","","26723","Elapidae informal A","family","38153","obsolete variant of","Elapidae","family","38153","Orleanian","Middle Miocene","20","11.608","7375"
"279823","occ","","","26723","Elapidae informal B","family","38153","obsolete variant of","Elapidae","family","38153","Orleanian","Middle Miocene","20","11.608","7375"
"279824","occ","27833","","26723","Vipera sp.","genus","38158","","Vipera","genus","38158","Orleanian","Middle Miocene","20","11.608","43699"
"279825","occ","","","26723","Viperinae informal B","subfamily","64912","obsolete variant of","Viperinae","subfamily","64912","Orleanian","Middle Miocene","20","11.608","7375"
"279991","occ","","","26749","Alamitophis argentinus","species","53178","","Alamitophis argentinus","species","53178","Maastrichtian","","72.1","66","7376"
"279992","occ","","","26749","Madtsoiidae ? indet.","family","53179","","Madtsoiidae","family","64923","Maastrichtian","","72.1","66","7376"
"279993","occ","","","26749","Boidae ? indet.","family","38086","","Boidae","family","38086","Maastrichtian","","72.1","66","7376"
"279994","occ","","","26749","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Maastrichtian","","72.1","66","7376"
"280027","occ","","","26752","Eryx cf. jaculus","species","53235","species not entered","Eryx","genus","53235","Late Miocene","","11.608","5.333","7377"
"280034","occ","","","26758","Calamagras weigeli","species","68036","","Calamagras weigeli","species","68036","Middle Miocene","","15.97","11.608","7384"
