Species	Status	min_age	max_age
Rana_temporaria	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Eophractus_casamayorensis	extinct	48	55.8
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Anura	extinct	125.45	130
Anura	extinct	132.9	139.8
Anura	extinct	122.46	130
Discoglossus	extinct	2.588	3.2
Pelobates	extinct	2.588	3.2
Bufo	extinct	2.588	3.2
Bufo_viridis	extant	2.588	3.2
Hyla	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Ranidae	extinct	0.0117	0.126
Anura	extinct	0.0117	5.333
Anura	extinct	0.0117	5.333
Discoglossus	extinct	0.0117	0.781
Anura	extinct	0.0117	0.781
Discoglossus	extinct	0.0117	0.781
Bufo_viridis	extant	0.0117	0.781
Anura	extinct	0.0117	0.781
Discoglossus	extinct	0.0117	0.781
Anura	extinct	0.0117	0.781
Discoglossus	extinct	0.0117	0.126
Bufo_viridis	extant	0.0117	0.126
Hyla	extinct	0.0117	0.126
Anura	extinct	0.0117	0.126
Bufo_viridis	extant	0.0117	0.126
Anura	extinct	0.0117	0.126
Anura	extinct	0.0117	5.333
Hyla	extinct	0.781	2.588
Discoglossidae	extinct	0.781	2.588
Enneabatrachus	extinct	139.8	145
Anura	extinct	139.8	145
Anura	extinct	113	125
Rhinophrynus_canadensis	extinct	33.9	37.2
Scaphiopus	extinct	33.9	37.2
Hyla	extinct	33.9	37.2
Spea_neuter	extinct	20.43	24.8
Anura	extinct	56.8	61.7
Ranidae	extinct	10.3	13.6
Anura	extinct	109	122.46
Anura	extinct	100.5	113
Discoglossidae	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	33.3	33.9
Anura	extinct	24.8	26.3
Eorhinophrynus_septentrionalis	extinct	46.2	50.3
Megophryidae	extinct	46.2	50.3
Anura	extinct	50.3	55.8
Discoglossidae	extinct	125.45	136.4
Hyla	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Hyla	extinct	0.3	1.8
Hyla	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Hyla	extinct	0.3	1.8
Hyla	extinct	0.3	1.8
Hylidae	extinct	0.3	1.8
Pelobatidae	extinct	0.3	1.8
Hyla	extinct	0.3	1.8
Rana_pipiens	extinct	0.3	1.8
Rana	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Rana_pipiens	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Spea_bombifrons	extinct	0.3	1.8
Bufo_americanus	extinct	0.3	1.8
Rana_pipiens	extinct	0.3	1.8
Rana	extinct	0.012	0.3
Rana	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Anura	extinct	122.46	130
Anura	extinct	145	157.3
Vulcanobatrachus_mandelai	extinct	66	89.3
Anura	extinct	145	157.3
Anura	extinct	145	157.3
Bufo_linquensis	extinct	11.608	15.97
Bufonidae	extinct	5.333	11.608
Discoglossidae	extinct	5.333	11.608
Anura	extinct	70.6	83.5
Eopelobates	extinct	66	70.6
Hylidae	extinct	66	70.6
Leptodactylidae	extinct	66	70.6
Palaeobatrachus_occidentalis	extinct	66	70.6
Discoglossidae	extinct	66	70.6
Pelobatidae	extinct	66	70.6
Anura	extinct	164.7	167.7
Discoglossidae	extinct	164.7	167.7
Anura	extinct	164.7	167.7
Discoglossidae	extinct	164.7	167.7
Anura	extinct	145	157.3
Anura	extinct	0.3	1.8
Anura	extinct	66	72.1
Gobiates_kizylkumensis	extinct	86.3	89.8
Pelodytidae	extinct	41.3	47.8
Anura	extinct	41.3	47.8
Discoglossidae	extinct	70.6	83.5
Palaeobatrachidae	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	152.1	157.3
Rhadinosteus_parvus	extinct	152.1	157.3
Enneabatrachus	extinct	152.1	157.3
Discoglossidae	extinct	152.1	157.3
Pelobatidae	extinct	66	72.1
Pelobatidae	extinct	66	72.1
Anura	extinct	66	72.1
Anura	extinct	122.46	125.45
Discoglossidae	extinct	66	83.5
Anura	extinct	125.45	130
Anura	extinct	164.7	167.7
Anura	extinct	112.03	122.46
Anura	extinct	125.45	130
Discoglossidae	extinct	113	125
Anura	extinct	125	129.4
Anura	extinct	129.4	132.9
Anura	extinct	100.5	113
Rana_catesbeiana	extinct	0.0117	0.126
Rana	extinct	0.0117	0.126
Bufo_americanus	extinct	0.0117	0.126
Anura	extinct	0	0.0117
Bufo	extinct	0	0.0117
Bufo	extinct	0	0.126
Spea_neuter	extinct	26.3	30.8
